trip_id,distance_km,vehicle_type,fuel_type,emissions_kg
1,19.44,Vitz,Gasoline,3.596
2,3.83,Axio,Gasoline,0.709
3,19.5,Prius,Hybrid,1.95
4,6.92,Prius,Hybrid,0.692
5,18.72,Vitz,Gasoline,3.463
6,24.1,Axio,Gasoline,4.458
7,6.97,Axio,Gasoline,1.289
8,11.42,Axio,Gasoline,2.113
9,22.77,Vitz,Gasoline,4.212
10,7.78,Note,Diesel,1.945
11,5.59,Vitz,Gasoline,1.034
12,11.15,Vitz,Gasoline,2.063
13,3.67,Axio,Gasoline,0.679
14,11.8,Prius,Hybrid,1.18
15,2.1,Demio,Gasoline,0.389
16,3.22,Vitz,Gasoline,0.596
17,24.6,Note,Diesel,6.15
18,22.53,Demio,Gasoline,4.168
19,24.54,Vitz,Gasoline,4.54
20,11.06,Prius,Hybrid,1.106
21,5.71,Axio,Gasoline,1.056
22,17.61,Prius,Hybrid,1.761
23,20.62,Axio,Gasoline,3.815
24,10.42,Aqua,Hybrid,1.042
25,12.24,Vitz,Gasoline,2.264
26,20.77,Demio,Gasoline,3.842
27,11.93,Vitz,Gasoline,2.207
28,13.46,Aqua,Hybrid,1.346
29,24.07,Axio,Gasoline,4.453
30,10.0,Vitz,Gasoline,1.85
31,5.83,Demio,Gasoline,1.079
32,16.19,Vitz,Gasoline,2.995
33,15.36,Axio,Gasoline,2.842
34,2.6,Axio,Gasoline,0.481
35,9.65,Axio,Gasoline,1.785
36,21.06,Demio,Gasoline,3.896
37,6.03,Axio,Gasoline,1.116
38,21.64,Vitz,Gasoline,4.003
39,3.2,Note,Diesel,0.8
40,13.44,Demio,Gasoline,2.486
41,21.19,Demio,Gasoline,3.92
42,3.9,Aqua,Hybrid,0.39
43,20.81,Aqua,Hybrid,2.081
44,14.9,Axio,Gasoline,2.756
45,14.45,Vitz,Gasoline,2.673
46,2.38,Vitz,Gasoline,0.44
47,3.13,Demio,Gasoline,0.579
48,10.21,Note,Diesel,2.553
49,3.52,Vitz,Gasoline,0.651
50,23.68,Aqua,Hybrid,2.368
51,21.9,Demio,Gasoline,4.051
52,13.61,Aqua,Hybrid,1.361
53,2.02,Vitz,Gasoline,0.374
54,8.2,Aqua,Hybrid,0.82
55,3.19,Axio,Gasoline,0.59
56,17.55,Vitz,Gasoline,3.247
57,10.62,Vitz,Gasoline,1.965
58,24.75,Aqua,Hybrid,2.475
59,17.03,Demio,Gasoline,3.151
60,3.14,Vitz,Gasoline,0.581
61,24.11,Vitz,Gasoline,4.46
62,14.61,Aqua,Hybrid,1.461
63,13.8,Demio,Gasoline,2.553
64,5.44,Axio,Gasoline,1.006
65,2.49,Vitz,Gasoline,0.461
66,24.66,Vitz,Gasoline,4.562
67,6.62,Demio,Gasoline,1.225
68,8.28,Aqua,Hybrid,0.828
69,13.74,Prius,Hybrid,1.374
70,20.91,Axio,Gasoline,3.868
71,24.71,Aqua,Hybrid,2.471
72,18.61,Aqua,Hybrid,1.861
73,16.5,Demio,Gasoline,3.052
74,22.66,Vitz,Gasoline,4.192
75,16.01,Note,Diesel,4.003
76,11.23,Axio,Gasoline,2.078
77,21.89,Axio,Gasoline,4.05
78,20.98,Vitz,Gasoline,3.881
79,24.15,Vitz,Gasoline,4.468
80,22.3,Demio,Gasoline,4.125
81,12.13,Aqua,Hybrid,1.213
82,3.9,Demio,Gasoline,0.722
83,5.93,Vitz,Gasoline,1.097
84,24.48,Note,Diesel,6.12
85,10.22,Aqua,Hybrid,1.022
86,11.11,Axio,Gasoline,2.055
87,5.32,Axio,Gasoline,0.984
88,22.43,Vitz,Gasoline,4.15
89,9.11,Axio,Gasoline,1.685
90,16.25,Vitz,Gasoline,3.006
91,5.11,Demio,Gasoline,0.945
92,16.81,Note,Diesel,4.202
93,4.97,Axio,Gasoline,0.919
94,21.7,Vitz,Gasoline,4.014
95,4.27,Axio,Gasoline,0.79
96,19.54,Demio,Gasoline,3.615
97,6.26,Vitz,Gasoline,1.158
98,21.18,Aqua,Hybrid,2.118
99,12.96,Aqua,Hybrid,1.296
100,11.02,Aqua,Hybrid,1.102
101,23.93,Aqua,Hybrid,2.393
102,20.27,Vitz,Gasoline,3.75
103,2.66,Axio,Gasoline,0.492
104,23.63,Demio,Gasoline,4.372
105,18.24,Prius,Hybrid,1.824
106,24.47,Note,Diesel,6.117
107,18.13,Vitz,Gasoline,3.354
